NOMEDEP;DE;DISTR;MUN;TIPOESC;COD_ESC;NOMESC;DS_PAIS;Nº alunos
ESTADUAL - SE;BRAGANCA PAULISTA;ATIBAIA;ATIBAIA;08;0017954;CIRCE TEIXEIRA MUSA E SILVA PROFESSORA;Portugal;1
ESTADUAL - SE;BRAGANCA PAULISTA;PIRACAIA;PIRACAIA;08;0017905;JOSE SIQUEIRA BUENO;Argentina;1
ESTADUAL - SE;CAIEIRAS;CAIEIRAS;CAIEIRAS;08;0041836;ISAURA VALENTINI HANSER PROFA;Venezuela;1
ESTADUAL - SE;CAIEIRAS;FRANCISCO MORATO;FRANCISCO MORATO;08;0048781;ULYSSES SANCHES RAMIRES PROF;Argentina;2
ESTADUAL - SE;CAIEIRAS;FRANCISCO MORATO;FRANCISCO MORATO;08;0906232;LYDIA SCALET WALKER PROFA;Bolívia;6
ESTADUAL - SE;CAIEIRAS;FRANCISCO MORATO;FRANCISCO MORATO;08;0913443;JOSE DE BARROS MARTINS EDITOR;Bolívia;6
ESTADUAL - SE;CAIEIRAS;FRANCISCO MORATO;FRANCISCO MORATO;08;0916869;LENITA CORREA CAMARGO PROFA;Bolívia;3
ESTADUAL - SE;CAIEIRAS;FRANCISCO MORATO;FRANCISCO MORATO;08;0924167;PARQUE CENTO E VINTE II;Bolívia;1
ESTADUAL - SE;CAIEIRAS;FRANCO DA ROCHA;FRANCO DA ROCHA;08;0050436;JOSE PARADA PROFESSOR;Japão;1
ESTADUAL - SE;CAIEIRAS;FRANCO DA ROCHA;FRANCO DA ROCHA;08;0921038;LUIZ ALEXANDRE DOS SANTOS;Japão;3
ESTADUAL - SE;CAIEIRAS;MAIRIPORA;MAIRIPORA;08;0005642;NIDE ZAIM CARDOSO PROFA;Bolívia;1
ESTADUAL - SE;CAIEIRAS;MAIRIPORA;MAIRIPORA;08;0005642;NIDE ZAIM CARDOSO PROFA;Haiti;1
ESTADUAL - SE;CAIEIRAS;MAIRIPORA;MAIRIPORA;08;0005733;ODARICO OLIVEIRA NASCIMENTO PROF;Bolívia;2
ESTADUAL - SE;ADAMANTINA;PANORAMA;PANORAMA;08;0031159;LUCIO ANTUNES DOM;Japão;1
ESTADUAL - SE;ADAMANTINA;SAGRES;SAGRES;08;0031550;WALDOMIRO SAMPAIO DE SOUZA PREFEITO;Portugal;1
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;08;0016950;RISOLETA LOPES ARANHA PROFESSORA;Bolívia;1
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;08;0016962;SILVINO JOSE DE OLIVEIRA PROF;Venezuela;1
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;08;0017188;ARY MENEGATTO PROF;Japão;1
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;08;0017206;HEITOR PENTEADO DR;Bolívia;2
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;08;0017334;OLYMPIA BARTH DE OLIVEIRA PROFA;Bolívia;12
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;SANTA BARBARA D'OESTE;08;0017000;INOCENCIO MAIA PROF;Haiti;1
