NOMEDEP;DE;DISTR;MUN;TIPOESC;COD_ESC;NOMESC;DS_PAIS;Nº ALUNOS
ESTADUAL - SE;LESTE 4;VILA MATILDE;SAO PAULO;8;2549;ADELAIDE FERRAZ DE OLIVEIRA PROFA;África do Sul;1
ESTADUAL - SE;LESTE 4;VILA MATILDE;SAO PAULO;8;2549;ADELAIDE FERRAZ DE OLIVEIRA PROFA;Angola;2
ESTADUAL - SE;LESTE 4;VILA MATILDE;SAO PAULO;8;2549;ADELAIDE FERRAZ DE OLIVEIRA PROFA;Bolívia;8
ESTADUAL - SE;LESTE 4;VILA MATILDE;SAO PAULO;8;2549;ADELAIDE FERRAZ DE OLIVEIRA PROFA;Colômbia;1
ESTADUAL - SE;LESTE 4;VILA MATILDE;SAO PAULO;8;2549;ADELAIDE FERRAZ DE OLIVEIRA PROFA;Espanha;2
ESTADUAL - SE;SAO VICENTE;PRAIA GRANDE;PRAIA GRANDE;8;49189;ADELAIDE PATROCINIO DOS SANTOS;Argentina;1
ESTADUAL - SE;CENTRO SUL;CAMBUCI;SAO PAULO;8;4303;ADELINA ISSA ASHCAR;Angola;9
ESTADUAL - SE;CENTRO SUL;CAMBUCI;SAO PAULO;8;4303;ADELINA ISSA ASHCAR;Bolívia;4
ESTADUAL - SE;CENTRO SUL;CAMBUCI;SAO PAULO;8;4303;ADELINA ISSA ASHCAR;Colômbia;1
ESTADUAL - SE;CENTRO SUL;CAMBUCI;SAO PAULO;8;4303;ADELINA ISSA ASHCAR;Haiti;24
ESTADUAL - SE;CENTRO SUL;CAMBUCI;SAO PAULO;8;4303;ADELINA ISSA ASHCAR;Líbano;1
ESTADUAL - SE;CENTRO SUL;CAMBUCI;SAO PAULO;8;4303;ADELINA ISSA ASHCAR;Venezuela;2
ESTADUAL - SE;LESTE 4;SAO MATEUS;SAO PAULO;8;3232;ADELINO JOSE DA SILVA D AZEVEDO PROF;Venezuela;3
ESTADUAL - SE;BRAGANCA PAULISTA;VARGEM;VARGEM;8;17802;ADELIO FERRAZ DE CASTRO;Venezuela;1
ESTADUAL - SE;NORTE 2;TUCURUVI;SAO PAULO;8;1351;ADEMAR HIROSHI SUDA PROF;Bolívia;7
ESTADUAL - SE;NORTE 2;TUCURUVI;SAO PAULO;8;1351;ADEMAR HIROSHI SUDA PROF;Japão;1
ESTADUAL - SE;NORTE 2;TUCURUVI;SAO PAULO;8;1351;ADEMAR HIROSHI SUDA PROF;Paraguai;1
ESTADUAL - SE;LESTE 3;SAO RAFAEL;SAO PAULO;8;3244;ADHEMAR ANTONIO PRADO PROFESSOR;Haiti;4
ESTADUAL - SE;LESTE 3;SAO RAFAEL;SAO PAULO;8;3244;ADHEMAR ANTONIO PRADO PROFESSOR;Venezuela;4
ESTADUAL - SE;JACAREI;JACAREI;JACAREI;8;42286;ADHERBAL DE CASTRO PROF;Haiti;1
ESTADUAL - SE;JACAREI;JACAREI;JACAREI;8;42286;ADHERBAL DE CASTRO PROF;Paraguai;1
ESTADUAL - SE;JACAREI;JACAREI;JACAREI;8;42286;ADHERBAL DE CASTRO PROF;Venezuela;1
ESTADUAL - SE;ITAPETININGA;ITAPETININGA;ITAPETININGA;8;15088;ADHERBAL DE PAULA FERREIRA;Espanha;1
ESTADUAL - SE;ITAPETININGA;ITAPETININGA;ITAPETININGA;8;15088;ADHERBAL DE PAULA FERREIRA;Japão;2
ESTADUAL - SE;JUNDIAI;JUNDIAI;JUNDIAI;8;39962;ADIB MIGUEL HADDAD;Paraguai;2
ESTADUAL - SE;CENTRO OESTE;RIO PEQUENO;SAO PAULO;8;4200;ADOLFINO DE ARRUDA CASTANHO PROFESSOR;Nigéria;1
ESTADUAL - SE;SAO JOAQUIM DA BARRA;SAO JOAQUIM DA BARRA;SAO JOAQUIM DA BARRA;8;24697;ADOLFO ALFEU FERRERO;China;1
ESTADUAL - SE;SUL 3;CIDADE DUTRA;SAO PAULO;8;5381;ADOLFO CASAIS MONTEIRO PROF;Bolívia;2
ESTADUAL - SE;SUL 3;CIDADE DUTRA;SAO PAULO;8;5381;ADOLFO CASAIS MONTEIRO PROF;Haiti;1
ESTADUAL - SE;SUL 3;CIDADE DUTRA;SAO PAULO;8;5381;ADOLFO CASAIS MONTEIRO PROF;Venezuela;11
ESTADUAL - SE;CENTRO OESTE;MORUMBI;SAO PAULO;8;4212;ADOLFO GORDO SENADOR;Colômbia;1
ESTADUAL - SE;CENTRO OESTE;MORUMBI;SAO PAULO;8;4212;ADOLFO GORDO SENADOR;Turquia;1
ESTADUAL - SE;CENTRO OESTE;MORUMBI;SAO PAULO;8;4212;ADOLFO GORDO SENADOR;Venezuela;1
ESTADUAL - SE;CENTRO OESTE;VILA SONIA;SAO PAULO;8;4259;ADOLFO TRIPOLI PROFESSOR;Argentina;1
ESTADUAL - SE;PIRACICABA;PIRACICABA;PIRACICABA;8;48324;ADOLPHO CARVALHO PROFESSOR;Colômbia;1
ESTADUAL - SE;LESTE 2;VILA CURUCA;SAO PAULO;8;44301;ADOLPHO PLUSKAT PROF;Bolívia;4
ESTADUAL - SE;CAMPINAS OESTE;CAMPINAS OESTE;CAMPINAS;8;47776;ADOLPHO ROSSIN MAJOR;Venezuela;3
ESTADUAL - SE;SAO CARLOS;SAO CARLOS;SAO CARLOS;8;496571;ADUAR KEMELL DIBO PROFESSOR;Venezuela;1
ESTADUAL - SE;PIRACICABA;PIRACICABA;PIRACICABA;8;909543;AFFONSO JOSE FIORAVANTI PROFESSOR;Colômbia;1
ESTADUAL - SE;PIRACICABA;PIRACICABA;PIRACICABA;8;909543;AFFONSO JOSE FIORAVANTI PROFESSOR;Peru;1
ESTADUAL - SE;SUL 2;CAPAO REDONDO;SAO PAULO;8;916791;AFIZ GEBARA DOUTOR;Japão;1
ESTADUAL - SE;MAUA;MAUA;MAUA;8;412983;AFONSO PASCHOTTE PADRE;Equador;1
ESTADUAL - SE;MAUA;MAUA;MAUA;8;412983;AFONSO PASCHOTTE PADRE;Haiti;5
ESTADUAL - SE;MAUA;MAUA;MAUA;8;412983;AFONSO PASCHOTTE PADRE;Venezuela;3
ESTADUAL - SE;LESTE 4;VILA MATILDE;SAO PAULO;8;2653;AFONSO PENNA JUNIOR PROF;Bolívia;5
ESTADUAL - SE;LESTE 4;VILA MATILDE;SAO PAULO;8;2653;AFONSO PENNA JUNIOR PROF;Espanha;1
ESTADUAL - SE;LESTE 4;VILA MATILDE;SAO PAULO;8;2653;AFONSO PENNA JUNIOR PROF;Haiti;1
ESTADUAL - SE;LESTE 4;VILA MATILDE;SAO PAULO;8;2653;AFONSO PENNA JUNIOR PROF;Paraguai;2
ESTADUAL - SE;LESTE 4;VILA MATILDE;SAO PAULO;8;2653;AFONSO PENNA JUNIOR PROF;Reino Unido da Grã-Bretanha e Irlanda do Norte;1
ESTADUAL - SE;SANTOS;CUBATAO;CUBATAO;8;11435;AFONSO SCHIMIDT;Portugal;1
ESTADUAL - SE;VOTORANTIM;SALTO DE PIRAPORA;SALTO DE PIRAPORA;8;16846;AFONSO VERGUEIRO DOUTOR;Chile;1
ESTADUAL - SE;VOTORANTIM;SALTO DE PIRAPORA;SALTO DE PIRAPORA;8;16846;AFONSO VERGUEIRO DOUTOR;Haiti;1
ESTADUAL - SE;VOTORANTIM;SALTO DE PIRAPORA;SALTO DE PIRAPORA;8;16846;AFONSO VERGUEIRO DOUTOR;Japão;2
ESTADUAL - SE;SUL 3;GRAJAU;SAO PAULO;8;907194;AFRANIO DE OLIVEIRA;Bolívia;1
ESTADUAL - SE;CENTRO;VILA GUILHERME;SAO PAULO;8;760;AFRANIO PEIXOTO;Angola;1
ESTADUAL - SE;CENTRO;VILA GUILHERME;SAO PAULO;8;760;AFRANIO PEIXOTO;Argentina;9
